date_of_journey,airlines,airlines_code,class,departure,total_stops,arrival,duration_in_minutes,source,destination,price_fare
2024-08-27,Vistara,UK-959,Business,12:07:00,1.0,21:52:00,735.0,Delhi,Cochin,37193
2024-05-10,Air India,AI-805,Economy,09:22:00,1.0,23:39:00,130.2,Delhi,Cochin,7320
2024-07-30,Spicejet,SG-8169,Economy,16:51:00,0.0,04:30:00,124.80000000000001,Banglore,Delhi,5021
2024-11-18,Air India,AI-481,Business,08:20:00,2.0,04:43:00,814.8,Kolkata,Banglore,31462
2024-10-12,Vistara,UK-817,Economy,06:53:00,0.0,17:29:00,435.0,Banglore,New Delhi,10208
2024-07-24,Air Asia,I5-1228,Economy,14:58:00,0.0,20:24:00,690.0,Mumbai,Hyderabad,4827
2024-08-12,Vistara,UK-927,Economy,17:44:00,0.0,22:38:00,124.80000000000001,Mumbai,Hyderabad,5955
2024-04-23,Vistara,UK-959,Economy,07:09:00,0.0,09:38:00,1425.0,Kolkata,Banglore,6979
2024-06-27,Vistara,UK-837,Premium Economy,22:32:00,1.0,04:02:00,1090.2,Delhi,Cochin,17996
2024-04-29,Vistara,UK-979,Economy,23:08:00,2.0,15:39:00,319.8,Delhi,Cochin,22892
2024-09-08,Go First,G8-184,Economy,23:08:00,1.0,03:45:00,490.2,Delhi,Cochin,6873
2024-10-10,Air India,AI-624,Business,04:51:00,1.0,21:13:00,145.2,Banglore,New Delhi,22152
2024-08-28,Air India,AI-814,Business,21:13:00,0.0,11:12:00,135.0,Banglore,Delhi,22152
2024-09-24,Air India,AI-453,Economy,08:05:00,1.0,13:58:00,775.2,Delhi,Cochin,13055
2024-07-22,Vistara,UK-819,Economy,01:48:00,2.0,04:55:00,550.2,Delhi,Cochin,9788
2024-01-21,Go First,G8-717,Economy,10:30:00,1.0,03:20:00,300.0,Kolkata,Banglore,4093
2024-11-11,Vistara,UK-985,Business,21:50:00,0.0,01:22:00,135.0,Delhi,Cochin,30104
2024-08-26,Indigo,6E-2016,Economy,23:02:00,1.0,11:56:00,135.0,Kolkata,Banglore,7319
2024-01-14,Vistara,UK-785,Premium Economy,06:07:00,1.0,16:19:00,1690.2,Delhi,Cochin,15286
2024-10-18,Vistara,UK-945,Economy,04:12:00,0.0,22:17:00,135.0,Mumbai,Hyderabad,5955
2024-12-23,Air India,AI-807,Economy,17:42:00,0.0,14:38:00,379.8,Chennai,Kolkata,7194
2024-02-10,Vistara,UK-985,Business,01:34:00,1.0,09:13:00,135.0,Delhi,Cochin,56860
